stand,立,"""Two sticks are propping up a lid. By doing this, they're making it <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">stand</span> up.""",,108,level2 radical
stone,石,"""There's a leaf growing out of a square thing (which is normally a mouth, but not this time). The leaf is growing out of a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">stone</span>. I mean, obviously, because leaves don't grow out of mouths. I hope. Anyway, Picture a stone in the middle of nature with a leaf growing out of it or just behind it and you'll never forget this radical!""",,109,level2 radical
stool,又,"""This looks just like a fold-out <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">stool</span>, amiright?""",,110,level2 radical
stop,止,"""There's a giant toe and a stick in the ground in front of you. You're driving your car toward them, but you don't see them until your lights hit them. What would these things cause you to do? Most likely <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">stop</span> your car right away.""",,111,level2 radical
street,丁,"""There's a barb under the ground, holding it in place. This is actually a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">street</span>. All streets have to be secured to the ground with barbs so that they don't slide all over the place. If you tried to pick up the asphalt streets we have today, you'd still find barbs under the ground to keep them there. The more you know! ⭐""",,112,level2 radical
sword,刀,"""If you look at this radical, it looks like the bottom part of a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">sword</span>—the handle, more specifically. This radical also looks a lot like the power radical (<span lang=""""ja"""">力</span>), so don't get them confused. It's missing the little nubbin at the top, because 90% of the power comes from the sword to cut your enemies down (which is why the sword radical is 90% of the power radical).""",,113,level2 radical
thousand,千,"""You're in a room, surrounded by slides. Down off the slides tumble cross after cross after cross. They're bouncing in and hitting you in the face, the arm, everywhere... With each cross comes a voice yelling, """"ONE! TWO! THREE HUNDRED! FIVE HUNDRED!"""" and so on. You are worried it will never end, because you're starting to drown in the crosses. Then the voice yells out ONE <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">THOUSAND</span> and they stop. Still, you can't move. Think about all the numbers being called out, and keep wondering if it'll be the last one. Feel the relief you'd feel if it stops on a thousand, because you won't be buried anymore. The thousand crosses are covering you entirely, over your head, but because they're crosses you can still breathe.""",,114,level2 radical
treasure,メ,"""This radical is <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">treasure</span> because """"X marks the spot,"""" as they say. Doesn't it look like the X on a pirate treasure map? You want to go find that treasure now, right?!""",,115,level2 radical
water,水,"""There are drops of liquid coming out of both sides of this barb. You can imagine the barb being stuck into the ground then pulled out. When it is, <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">water</span> comes gushing out of both sides! That's why this radical is water.""",,116,level2 radical
white,白,"""Add a drop of the sun to something and it will turn it <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">white</span>. The sun is really strong, so even a single drop will burn anything white. Why do you think so many beaches are white? Even the drops of sunblock you use to stop the sun's rays is white. So when you think of sun drops, think white.""",,117,level2 radical
writing,文,"""This looks like a stool with a lid on it, but it's actually a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">writing</span> desk. Do you see it? It's a nice, quiet place for writing. You can even see the pen sticking up in the middle. Wouldn't you want to do your writing here?""",,118,level2 radical
arrow,矢,"""You have a really big gun. Why? Because only big guns will be able to shoot <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">arrow</span>s! Bullets are pretty small, so the guns that shoot them can be any size. But you need a big gun if you want to shove an arrow in it and then shoot it at your enemies.""",,237,level3 radical
canopy,广,"""This is a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">canopy</span>. See the cloth draping down and the little point at the middle holding it up? You could sit under here and enjoy a bright, summer day without getting any sun!""",,238,level3 radical
